pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
28510.000000,477.812378,3.685025,0.000000,1.000000,20.000000,
24476.000000,414.052185,3.508551,1.000000,2.000000,20.000000,
22451.000000,305.861908,3.586088,1.000000,3.000000,20.000000,
21762.000000,188.372559,3.435725,1.000000,4.000000,20.000000,
22913.000000,390.220978,3.570097,11.000000,1.000000,62.000000,
21545.000000,184.137360,5.458028,11.000000,2.000000,62.000000,
21578.000000,426.226624,2.557778,18.000000,1.000000,104.000000,
20676.000000,391.623901,3.311050,19.000000,2.000000,104.000000,
21544.000000,195.399612,4.043838,19.000000,3.000000,104.000000,
22942.000000,414.965515,2.466503,0.000000,1.000000,140.000000,
28974.000000,533.065247,3.742241,0.000000,2.000000,140.000000,
22046.000000,445.049133,3.208909,1.000000,3.000000,140.000000,
18671.000000,435.560242,3.382671,26.000000,4.000000,140.000000,
26729.000000,138.320709,2.190412,3.000000,5.000000,140.000000,
19323.000000,72.057236,3.573840,26.000000,6.000000,140.000000,
21543.000000,86.147621,5.292814,26.000000,7.000000,140.000000,
25196.000000,592.745789,3.536015,0.000000,1.000000,170.000000,
20937.000000,448.777863,3.188739,0.000000,2.000000,170.000000,
18228.000000,356.102325,3.374609,28.000000,3.000000,170.000000,
18441.000000,310.120422,3.918220,33.000000,4.000000,170.000000,
28749.000000,297.649841,3.993942,4.000000,5.000000,170.000000,
19323.000000,54.462379,5.336003,33.000000,6.000000,170.000000,
21543.000000,62.410042,7.187793,33.000000,7.000000,170.000000,
26111.000000,631.057861,3.096151,0.000000,1.000000,209.000000,
28790.000000,496.105438,3.021286,0.000000,2.000000,209.000000,
20952.000000,514.842285,3.441195,0.000000,3.000000,209.000000,
29892.000000,472.740051,3.454011,0.000000,4.000000,209.000000,
18695.000000,437.781738,4.320070,0.000000,5.000000,209.000000,
18233.000000,394.101196,5.425325,28.000000,6.000000,209.000000,
28756.000000,338.142975,5.570105,12.000000,7.000000,209.000000,
18441.000000,374.653687,6.756043,42.000000,8.000000,209.000000,
19323.000000,97.190460,8.620662,42.000000,9.000000,209.000000,
21543.000000,64.009453,10.426636,42.000000,10.000000,209.000000,
24112.000000,604.446899,3.344349,0.000000,1.000000,246.000000,
29259.000000,604.033386,3.352026,0.000000,2.000000,246.000000,
21637.000000,502.754913,3.741308,0.000000,3.000000,246.000000,
30344.000000,443.045166,3.753355,0.000000,4.000000,246.000000,
31025.000000,404.514771,3.664248,0.000000,5.000000,246.000000,
30114.000000,493.071960,5.010072,0.000000,6.000000,246.000000,
18697.000000,416.866791,6.009154,2.000000,7.000000,246.000000,
