pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
12815.000000,566.362610,3.552983,0.000000,1.000000,20.000000,
19550.000000,522.465027,3.782700,1.000000,2.000000,20.000000,
12800.000000,434.152588,3.486678,0.000000,3.000000,20.000000,
23112.000000,146.829987,3.584247,1.000000,4.000000,20.000000,
19773.000000,494.209442,5.308812,11.000000,1.000000,62.000000,
23108.000000,188.368958,5.958738,11.000000,2.000000,62.000000,
19773.000000,309.687073,3.367104,24.000000,1.000000,122.000000,
23108.000000,229.052872,4.046538,24.000000,2.000000,122.000000,
14843.000000,380.883209,4.333480,10.000000,1.000000,158.000000,
16643.000000,290.895050,3.757976,14.000000,2.000000,158.000000,
22653.000000,159.695999,3.683741,30.000000,3.000000,158.000000,
13950.000000,345.649872,2.800372,17.000000,1.000000,209.000000,
15981.000000,411.352234,3.429455,23.000000,2.000000,209.000000,
20239.000000,69.155899,3.776725,33.000000,3.000000,209.000000,
11947.000000,469.077576,2.494435,6.000000,1.000000,240.000000,
13521.000000,495.638367,2.830047,22.000000,2.000000,240.000000,
16659.000000,380.664307,3.891930,31.000000,3.000000,240.000000,
22653.000000,190.502335,8.018689,33.000000,4.000000,240.000000,
20239.000000,46.637688,4.937520,40.000000,5.000000,240.000000,
10845.000000,462.760742,3.406698,0.000000,1.000000,270.000000,
12639.000000,405.884705,3.353942,15.000000,2.000000,270.000000,
9271.000000,250.473114,3.191276,0.000000,3.000000,270.000000,
8808.000000,224.297272,2.879389,0.000000,4.000000,270.000000,
17555.000000,263.615967,3.757658,41.000000,5.000000,270.000000,
22653.000000,225.844971,9.727385,33.000000,6.000000,270.000000,
20239.000000,87.145660,5.534854,47.000000,7.000000,270.000000,
11535.000000,441.962036,3.134703,10.000000,1.000000,312.000000,
16008.000000,454.592255,3.654684,37.000000,2.000000,312.000000,
13327.000000,422.897491,3.493278,16.000000,3.000000,312.000000,
17567.000000,455.447906,4.381031,46.000000,4.000000,312.000000,
20016.000000,118.317474,5.721198,48.000000,5.000000,312.000000,
22653.000000,236.545242,11.897125,33.000000,6.000000,312.000000,
14226.000000,440.100403,4.137640,29.000000,1.000000,348.000000,
17786.000000,403.214325,6.263993,48.000000,2.000000,348.000000,
22653.000000,249.179443,14.641129,33.000000,3.000000,348.000000,
20239.000000,102.559937,8.104968,49.000000,4.000000,348.000000,
17348.000000,422.222412,3.231887,54.000000,1.000000,397.000000,
16469.000000,373.572296,3.273476,45.000000,2.000000,397.000000,
17786.000000,408.674896,4.742220,48.000000,3.000000,397.000000,
22653.000000,252.991470,13.166081,33.000000,4.000000,397.000000,
20239.000000,105.887115,6.609142,49.000000,5.000000,397.000000,
17786.000000,307.795593,2.486814,48.000000,1.000000,433.000000,
12667.000000,434.311890,4.451478,39.000000,2.000000,433.000000,
14912.000000,340.607483,3.840420,42.000000,3.000000,433.000000,
21171.000000,135.851395,3.395174,64.000000,4.000000,433.000000,
21373.000000,92.128670,3.181015,58.000000,5.000000,433.000000,
20239.000000,113.186943,5.323236,49.000000,6.000000,433.000000,
22653.000000,261.563568,12.995401,33.000000,7.000000,433.000000,
17786.000000,307.203308,1.705145,48.000000,1.000000,463.000000,
24075.000000,419.908386,3.642262,68.000000,2.000000,463.000000,
24074.000000,397.998993,3.561704,66.000000,3.000000,463.000000,
13567.000000,418.357666,5.415660,48.000000,4.000000,463.000000,
12665.000000,406.463989,5.497785,46.000000,5.000000,463.000000,
20239.000000,112.918976,2.986301,49.000000,6.000000,463.000000,
21401.000000,103.531403,3.940650,55.000000,7.000000,463.000000,
22653.000000,261.548920,10.137102,33.000000,8.000000,463.000000,
