pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
28510.000000,387.760498,3.671395,1.000000,1.000000,20.000000,
26270.000000,307.225159,3.501661,2.000000,2.000000,20.000000,
22451.000000,101.433380,3.568763,2.000000,3.000000,20.000000,
22689.000000,314.869141,3.854504,17.000000,1.000000,62.000000,
22026.000000,246.252762,2.703056,29.000000,1.000000,110.000000,
26070.000000,198.342453,1.751481,18.000000,1.000000,146.000000,
19343.000000,249.673050,3.333995,47.000000,2.000000,146.000000,
25401.000000,203.625336,3.304628,16.000000,3.000000,146.000000,
22937.000000,127.148132,2.890625,17.000000,4.000000,146.000000,
18441.000000,338.195496,3.991751,59.000000,1.000000,171.000000,
28975.000000,201.917725,2.948234,29.000000,2.000000,171.000000,
20026.000000,238.798386,3.547619,32.000000,3.000000,171.000000,
19322.000000,84.883667,4.405549,59.000000,4.000000,171.000000,
18001.000000,345.483551,3.128318,76.000000,1.000000,219.000000,
18000.000000,338.543640,3.227624,76.000000,2.000000,219.000000,
29873.000000,401.823181,4.922503,40.000000,3.000000,219.000000,
28985.000000,397.496796,4.890191,34.000000,4.000000,219.000000,
20705.000000,89.377090,3.053535,39.000000,5.000000,219.000000,
15759.000000,274.470367,2.661583,88.000000,1.000000,255.000000,
29208.000000,517.653381,6.633827,38.000000,2.000000,255.000000,
29868.000000,409.057800,6.817622,48.000000,3.000000,255.000000,
20257.000000,75.258873,3.725538,48.000000,4.000000,255.000000,
17312.000000,61.656963,3.328373,84.000000,5.000000,255.000000,
15109.000000,339.221893,2.421793,39.000000,1.000000,291.000000,
29208.000000,585.778259,8.903010,38.000000,2.000000,291.000000,
29868.000000,447.882721,9.071074,48.000000,3.000000,291.000000,
20257.000000,111.115753,5.502628,64.000000,4.000000,291.000000,
14450.000000,490.507294,3.190327,38.000000,1.000000,322.000000,
13104.000000,412.981781,3.283735,33.000000,2.000000,322.000000,
29208.000000,623.868591,10.194880,38.000000,3.000000,322.000000,
29868.000000,460.066162,10.390043,48.000000,4.000000,322.000000,
9946.000000,134.741608,3.304953,14.000000,5.000000,322.000000,
20489.000000,123.862610,5.599447,48.000000,6.000000,322.000000,
10385.000000,37.063240,3.434264,19.000000,7.000000,322.000000,
9748.000000,284.459839,2.876054,21.000000,1.000000,364.000000,
15581.000000,237.677353,3.070432,35.000000,2.000000,364.000000,
29208.000000,589.382935,10.413666,38.000000,3.000000,364.000000,
29868.000000,437.363037,11.643597,48.000000,4.000000,364.000000,
9499.000000,93.807083,4.706914,21.000000,5.000000,364.000000,
11052.000000,42.391884,4.711194,45.000000,6.000000,364.000000,
19586.000000,25.305620,3.629494,75.000000,7.000000,364.000000,
20041.000000,20.068024,3.744291,63.000000,8.000000,364.000000,
9748.000000,195.626999,2.844241,37.000000,1.000000,400.000000,
15131.000000,233.997162,3.638130,52.000000,2.000000,400.000000,
29208.000000,617.951355,10.377568,38.000000,3.000000,400.000000,
14902.000000,163.915268,3.577117,64.000000,4.000000,400.000000,
29868.000000,461.573761,11.600213,48.000000,5.000000,400.000000,
9718.000000,68.989487,4.632390,30.000000,6.000000,400.000000,
11052.000000,60.686131,4.621844,53.000000,7.000000,400.000000,
29208.000000,638.550598,10.487971,38.000000,1.000000,412.000000,
29868.000000,477.394531,11.723438,48.000000,2.000000,412.000000,
14902.000000,146.561737,3.709046,70.000000,3.000000,412.000000,
26776.000000,517.128845,3.435618,38.000000,1.000000,521.000000,
29208.000000,644.279785,5.084045,38.000000,2.000000,521.000000,
29868.000000,477.773804,6.778464,48.000000,3.000000,521.000000,
30119.000000,530.157837,3.521744,25.000000,1.000000,563.000000,
30349.000000,420.538239,3.278988,25.000000,2.000000,563.000000,
30368.000000,409.824249,3.253915,12.000000,3.000000,563.000000,
31026.000000,407.451691,3.364260,16.000000,4.000000,563.000000,
31025.000000,415.799347,3.472732,17.000000,5.000000,563.000000,
29208.000000,552.835754,4.905707,38.000000,6.000000,563.000000,
29868.000000,479.269653,6.739613,48.000000,7.000000,563.000000,
29648.000000,427.434357,4.392793,46.000000,1.000000,609.000000,
30593.000000,245.903351,4.002184,17.000000,2.000000,609.000000,
31471.000000,150.617233,2.906544,21.000000,3.000000,609.000000,
