pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
30073.000000,425.605011,3.637840,1.000000,1.000000,20.000000,
24026.000000,249.911301,3.425335,2.000000,2.000000,20.000000,
22226.000000,83.158554,3.645522,2.000000,3.000000,20.000000,
24263.000000,384.006927,3.562818,15.000000,1.000000,62.000000,
23147.000000,319.683655,3.322513,25.000000,1.000000,104.000000,
21760.000000,31.108667,4.769045,32.000000,2.000000,104.000000,
27189.000000,522.489075,1.993703,13.000000,1.000000,140.000000,
22491.000000,174.830475,2.647110,13.000000,2.000000,140.000000,
19320.000000,40.045502,3.789046,46.000000,3.000000,140.000000,
27640.000000,415.921997,3.034159,15.000000,1.000000,170.000000,
24512.000000,307.853882,3.647006,15.000000,2.000000,170.000000,
17991.000000,151.026093,4.444216,57.000000,3.000000,170.000000,
18874.000000,78.263901,4.486570,57.000000,4.000000,170.000000,
18222.000000,57.367416,4.091038,57.000000,5.000000,170.000000,
27203.000000,518.074768,3.288695,20.000000,1.000000,206.000000,
28547.000000,487.301178,3.479519,15.000000,2.000000,206.000000,
24512.000000,360.301819,5.315061,22.000000,3.000000,206.000000,
18438.000000,148.964890,6.518550,67.000000,4.000000,206.000000,
17995.000000,143.511932,6.447495,67.000000,5.000000,206.000000,
18874.000000,112.936806,6.981277,67.000000,6.000000,206.000000,
24518.000000,420.147186,3.268003,30.000000,1.000000,249.000000,
29229.000000,412.943787,3.223802,10.000000,2.000000,249.000000,
24512.000000,310.043121,5.196827,31.000000,3.000000,249.000000,
18439.000000,108.947151,7.300534,75.000000,4.000000,249.000000,
18222.000000,90.380806,7.082862,73.000000,5.000000,249.000000,
18874.000000,49.706631,8.022332,72.000000,6.000000,249.000000,
28119.000000,526.429626,3.576679,20.000000,1.000000,291.000000,
25655.000000,321.325073,3.191065,34.000000,2.000000,291.000000,
21830.000000,140.721024,3.198873,37.000000,3.000000,291.000000,
17993.000000,85.731186,7.494386,83.000000,4.000000,291.000000,
29916.000000,630.174438,3.353206,9.000000,1.000000,333.000000,
27457.000000,452.950562,3.447785,19.000000,2.000000,333.000000,
30830.000000,539.067932,1.923234,10.000000,1.000000,369.000000,
27257.000000,617.012329,3.193946,18.000000,1.000000,400.000000,
32184.000000,356.973511,3.450745,3.000000,2.000000,400.000000,
25024.000000,541.223938,2.660075,21.000000,1.000000,436.000000,
31973.000000,200.806091,3.254938,0.000000,2.000000,436.000000,
