pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
13030.000000,342.145081,3.184390,1.000000,1.000000,20.000000,
17502.000000,90.523476,1.084425,2.000000,2.000000,20.000000,
21113.000000,212.307236,3.565093,2.000000,3.000000,20.000000,
22878.000000,23.014490,3.693064,2.000000,4.000000,20.000000,
22878.000000,62.011822,5.782311,21.000000,1.000000,62.000000,
21113.000000,27.904919,5.421845,21.000000,2.000000,62.000000,
22878.000000,83.111115,3.683814,36.000000,1.000000,128.000000,
17753.000000,202.136841,3.566144,62.000000,1.000000,170.000000,
26465.000000,62.387196,3.565694,46.000000,2.000000,170.000000,
20223.000000,30.446682,3.504618,67.000000,3.000000,170.000000,
14839.000000,413.588837,3.208541,57.000000,1.000000,213.000000,
16193.000000,356.146362,3.511890,65.000000,2.000000,213.000000,
26463.000000,69.302162,5.200104,40.000000,3.000000,213.000000,
11490.000000,524.073486,2.675654,32.000000,1.000000,249.000000,
15531.000000,152.266006,4.029044,66.000000,2.000000,249.000000,
26463.000000,71.481735,8.386227,40.000000,3.000000,249.000000,
10826.000000,553.799255,3.001638,33.000000,1.000000,285.000000,
12401.000000,405.774109,2.943096,44.000000,2.000000,285.000000,
15314.000000,77.363487,2.391400,61.000000,3.000000,285.000000,
15315.000000,78.960396,3.060162,61.000000,4.000000,285.000000,
26463.000000,83.205147,9.106315,40.000000,5.000000,285.000000,
9273.000000,247.305298,3.099136,32.000000,1.000000,324.000000,
10614.000000,180.406616,2.405005,36.000000,2.000000,324.000000,
8839.000000,229.647278,3.258578,31.000000,1.000000,360.000000,
