pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
28510.000000,476.860870,3.681925,0.000000,1.000000,20.000000,
24476.000000,413.773773,3.506056,1.000000,2.000000,20.000000,
22451.000000,303.820404,3.569212,1.000000,3.000000,20.000000,
21762.000000,181.237030,3.427190,1.000000,4.000000,20.000000,
22230.000000,311.192749,4.229926,8.000000,1.000000,62.000000,
21544.000000,169.427750,5.648811,8.000000,2.000000,62.000000,
21802.000000,408.779236,2.579967,12.000000,1.000000,110.000000,
20899.000000,346.214325,3.182511,13.000000,2.000000,110.000000,
21543.000000,158.535645,4.050463,13.000000,3.000000,110.000000,
28304.000000,569.576538,2.478835,0.000000,1.000000,146.000000,
20697.000000,392.297485,2.861580,8.000000,2.000000,146.000000,
18895.000000,389.001404,3.337177,21.000000,3.000000,146.000000,
21542.000000,71.704689,5.242629,21.000000,4.000000,146.000000,
26083.000000,618.476318,3.938461,0.000000,1.000000,176.000000,
28311.000000,426.486633,2.983898,0.000000,2.000000,176.000000,
25407.000000,416.379486,3.337316,5.000000,3.000000,176.000000,
22946.000000,438.215057,3.782462,5.000000,4.000000,176.000000,
24515.000000,490.533386,4.267686,5.000000,5.000000,176.000000,
21599.000000,383.739990,4.060134,8.000000,6.000000,176.000000,
18442.000000,122.803787,4.702369,28.000000,7.000000,176.000000,
21542.000000,103.960579,6.447804,28.000000,8.000000,176.000000,
26985.000000,654.922424,3.034207,0.000000,1.000000,228.000000,
26986.000000,669.146240,3.185029,0.000000,2.000000,228.000000,
26542.000000,711.936584,3.554874,0.000000,3.000000,228.000000,
26989.000000,712.690796,3.637225,0.000000,4.000000,228.000000,
26318.000000,705.978271,3.709675,0.000000,5.000000,228.000000,
30331.000000,638.826050,3.422800,0.000000,6.000000,228.000000,
25646.000000,693.701782,3.861290,0.000000,7.000000,228.000000,
22723.000000,444.671051,2.652986,5.000000,8.000000,228.000000,
24968.000000,499.282898,3.571087,0.000000,9.000000,228.000000,
20251.000000,350.846283,3.561608,22.000000,10.000000,228.000000,
30762.000000,357.456696,4.069057,0.000000,11.000000,228.000000,
21542.000000,150.902679,7.766431,39.000000,12.000000,228.000000,
18442.000000,97.529396,5.182910,39.000000,13.000000,228.000000,
24975.000000,657.010437,3.110047,0.000000,1.000000,267.000000,
29225.000000,738.602112,3.499265,0.000000,2.000000,267.000000,
30331.000000,682.128113,3.348423,0.000000,3.000000,267.000000,
24970.000000,485.021301,2.666083,0.000000,4.000000,267.000000,
25200.000000,666.444031,3.724787,0.000000,5.000000,267.000000,
28332.000000,631.235657,3.540437,0.000000,6.000000,267.000000,
26096.000000,617.779236,3.656703,0.000000,7.000000,267.000000,
26320.000000,609.237427,3.670706,0.000000,8.000000,267.000000,
21599.000000,387.324097,3.345133,26.000000,9.000000,267.000000,
30762.000000,391.742462,4.166055,0.000000,10.000000,267.000000,
18443.000000,171.594131,5.204323,48.000000,11.000000,267.000000,
21542.000000,193.250809,8.118663,41.000000,12.000000,267.000000,
29462.000000,632.212952,3.532620,0.000000,1.000000,303.000000,
27674.000000,561.329224,3.371710,0.000000,2.000000,303.000000,
30574.000000,510.152161,3.370184,0.000000,3.000000,303.000000,
21389.000000,493.576447,3.326161,1.000000,4.000000,303.000000,
20700.000000,338.056335,3.663295,36.000000,5.000000,303.000000,
30762.000000,401.476166,5.056612,0.000000,6.000000,303.000000,
19125.000000,402.027100,5.296421,53.000000,7.000000,303.000000,
18665.000000,135.839798,6.711583,56.000000,8.000000,303.000000,
21542.000000,196.357285,10.555943,41.000000,9.000000,303.000000,
29702.000000,566.093811,3.288071,0.000000,1.000000,345.000000,
24321.000000,506.904968,3.438027,0.000000,2.000000,345.000000,
21166.000000,408.868256,4.695060,3.000000,3.000000,345.000000,
30762.000000,368.461426,5.940445,0.000000,4.000000,345.000000,
20929.000000,288.187775,5.394653,37.000000,5.000000,345.000000,
19125.000000,277.324677,7.366643,62.000000,6.000000,345.000000,
21542.000000,180.146927,12.754413,41.000000,7.000000,345.000000,
18665.000000,98.146721,8.850026,65.000000,8.000000,345.000000,
28150.000000,627.194397,2.848147,0.000000,1.000000,387.000000,
30392.000000,521.009888,3.229829,0.000000,2.000000,387.000000,
24554.000000,451.957611,3.510430,3.000000,3.000000,387.000000,
