pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
13040.000000,536.587219,3.466041,0.000000,1.000000,20.000000,
12580.000000,531.063538,3.473217,0.000000,2.000000,20.000000,
17278.000000,156.998138,1.093885,2.000000,3.000000,20.000000,
19326.000000,537.478760,3.774294,2.000000,4.000000,20.000000,
19997.000000,479.990051,3.705062,2.000000,5.000000,20.000000,
23111.000000,140.004776,3.576510,2.000000,6.000000,20.000000,
18874.000000,452.276367,4.677526,11.000000,1.000000,62.000000,
20443.000000,411.662415,5.042280,11.000000,2.000000,62.000000,
23110.000000,175.077377,5.583994,11.000000,3.000000,62.000000,
18876.000000,433.328735,2.657426,21.000000,1.000000,116.000000,
20446.000000,383.448273,3.130964,23.000000,2.000000,116.000000,
22673.000000,143.509583,3.098075,23.000000,3.000000,116.000000,
23105.000000,149.495728,3.653750,23.000000,4.000000,116.000000,
15526.000000,368.690948,2.839190,5.000000,1.000000,146.000000,
18894.000000,353.704620,2.850180,14.000000,2.000000,146.000000,
20011.000000,247.408417,2.664398,23.000000,3.000000,146.000000,
21350.000000,102.635468,3.759482,30.000000,4.000000,146.000000,
23329.000000,120.740944,4.438485,30.000000,5.000000,146.000000,
12167.000000,436.152771,2.581578,0.000000,1.000000,182.000000,
17107.000000,361.016052,3.817671,15.000000,2.000000,182.000000,
23329.000000,156.058945,6.151081,36.000000,3.000000,182.000000,
21136.000000,48.771484,4.661174,32.000000,4.000000,182.000000,
10825.000000,463.107758,2.649806,0.000000,1.000000,218.000000,
11959.000000,491.822174,3.138154,0.000000,2.000000,218.000000,
15772.000000,488.377014,3.174471,15.000000,3.000000,218.000000,
18899.000000,271.448364,4.013621,24.000000,4.000000,218.000000,
21136.000000,101.256386,4.717635,40.000000,5.000000,218.000000,
23329.000000,147.229523,7.831063,43.000000,6.000000,218.000000,
10400.000000,385.554810,3.183611,0.000000,1.000000,255.000000,
13763.000000,461.697235,4.023425,1.000000,2.000000,255.000000,
10846.000000,325.360565,2.877730,0.000000,3.000000,255.000000,
10177.000000,405.822327,3.755705,0.000000,4.000000,255.000000,
15775.000000,395.723328,4.718700,13.000000,5.000000,255.000000,
11289.000000,129.003738,2.218821,0.000000,6.000000,255.000000,
23329.000000,149.759842,10.189083,48.000000,7.000000,255.000000,
20911.000000,95.149628,6.565333,48.000000,8.000000,255.000000,
13769.000000,470.153015,3.251186,0.000000,1.000000,297.000000,
9740.000000,373.126190,3.207271,0.000000,2.000000,297.000000,
17562.000000,386.079987,4.612891,34.000000,3.000000,297.000000,
21136.000000,130.011200,7.175372,56.000000,4.000000,297.000000,
23329.000000,178.815018,11.945489,48.000000,5.000000,297.000000,
16022.000000,492.177338,2.825350,6.000000,1.000000,333.000000,
18023.000000,489.260864,2.954299,38.000000,2.000000,333.000000,
17785.000000,381.080688,3.909752,44.000000,3.000000,333.000000,
20911.000000,163.637268,6.438420,63.000000,4.000000,333.000000,
23329.000000,206.346909,12.285339,48.000000,5.000000,333.000000,
13126.000000,526.405396,3.255402,0.000000,1.000000,369.000000,
17830.000000,424.996124,3.360817,11.000000,2.000000,369.000000,
20487.000000,369.110382,3.521235,49.000000,3.000000,369.000000,
10648.000000,362.543457,3.644808,0.000000,4.000000,369.000000,
17785.000000,328.394775,5.766644,44.000000,5.000000,369.000000,
20911.000000,160.178421,6.948440,63.000000,6.000000,369.000000,
23329.000000,199.351059,13.678347,48.000000,7.000000,369.000000,
15376.000000,485.617432,2.372023,2.000000,1.000000,412.000000,
15384.000000,638.483398,3.179008,1.000000,2.000000,412.000000,
18954.000000,541.644165,4.685810,15.000000,3.000000,412.000000,
20957.000000,361.703461,5.177642,36.000000,4.000000,412.000000,
20713.000000,395.365875,6.166324,58.000000,5.000000,412.000000,
17785.000000,350.333160,8.668428,44.000000,6.000000,412.000000,
20911.000000,173.849609,9.793204,64.000000,7.000000,412.000000,
23329.000000,206.542847,16.528812,48.000000,8.000000,412.000000,
17628.000000,561.023682,3.458562,4.000000,1.000000,442.000000,
