pos_id,info_gain,centroid_distance,j_relative_position_count,frontier_index,Elapsed time(sec),
30073.000000,422.398560,3.627254,1.000000,1.000000,20.000000,
24027.000000,280.999512,3.549843,2.000000,2.000000,20.000000,
22226.000000,83.137764,3.560176,2.000000,3.000000,20.000000,
22913.000000,95.746666,3.487840,16.000000,1.000000,62.000000,
22923.000000,215.227280,3.349930,26.000000,1.000000,104.000000,
21121.000000,182.053879,3.476371,29.000000,2.000000,104.000000,
21760.000000,78.522942,4.916070,29.000000,3.000000,104.000000,
21108.000000,39.449066,3.492824,29.000000,4.000000,104.000000,
28527.000000,377.114227,3.735021,27.000000,1.000000,146.000000,
18447.000000,234.134552,3.390306,47.000000,2.000000,146.000000,
27178.000000,129.223892,2.295323,31.000000,3.000000,146.000000,
22713.000000,132.872864,2.542749,27.000000,4.000000,146.000000,
18875.000000,127.135071,3.610450,47.000000,5.000000,146.000000,
30547.000000,361.045227,2.817095,25.000000,1.000000,188.000000,
18216.000000,112.500870,5.132850,63.000000,2.000000,188.000000,
30568.000000,409.591614,3.393412,13.000000,1.000000,225.000000,
25863.000000,244.323975,3.534049,32.000000,2.000000,225.000000,
24290.000000,75.998573,5.797307,36.000000,3.000000,225.000000,
18220.000000,56.068363,7.101952,79.000000,4.000000,225.000000,
19576.000000,59.850124,6.827604,84.000000,1.000000,267.000000,
29008.000000,22.526972,3.423879,21.000000,2.000000,267.000000,
22074.000000,380.644897,3.460395,42.000000,1.000000,339.000000,
18926.000000,247.502411,3.258837,59.000000,2.000000,339.000000,
24090.000000,273.993225,3.944061,26.000000,3.000000,339.000000,
19130.000000,117.416046,3.277592,95.000000,4.000000,339.000000,
18216.000000,42.385502,5.326310,108.000000,5.000000,339.000000,
29240.000000,30.545649,4.958415,23.000000,6.000000,339.000000,
18489.000000,201.374817,3.267382,59.000000,1.000000,381.000000,
22081.000000,143.559021,3.193746,47.000000,2.000000,381.000000,
24314.000000,125.613670,3.867352,35.000000,3.000000,381.000000,
19129.000000,83.979752,3.921724,105.000000,4.000000,381.000000,
31703.000000,58.356102,5.979692,21.000000,5.000000,381.000000,
17357.000000,30.012960,3.336882,66.000000,6.000000,381.000000,
18216.000000,39.546234,6.268233,116.000000,7.000000,381.000000,
