2026-03-20 08:35:31 [INFO]  [explore.cpp:564] **** getSizeInCellsX, getSizeInCellsY: 224, 160 **** 
2026-03-20 08:35:31 [INFO]  [explore.cpp:565] Estimate in map: (39, 79)
2026-03-20 08:35:31 [INFO]  [explore.cpp:589] Inserted in Quadmap
2026-03-20 08:35:31 [INFO]  [explore.cpp:609] -----finished-----
2026-03-20 08:35:31 [INFO]  [explore.cpp:642] === Exited SensingCallbackFilter ===
2026-03-20 08:35:31 [INFO]  [explore.cpp:333] === Entered SensingCallbackFilter ===
2026-03-20 08:35:31 [INFO]  [explore.cpp:358] Current pose (x, y, heading): 0.00, 0.03, 359.91
2026-03-20 08:35:31 [INFO]  [explore.cpp:372] Got relative measurements for Robot ID 1
2026-03-20 08:35:31 [INFO]  [explore.cpp:382] Using Own SLAM Pose
2026-03-20 08:35:31 [INFO]  [explore.cpp:410] Selecting measurements
2026-03-20 08:35:31 [INFO]  [explore.cpp:419] Measurement iterator = 1
2026-03-20 08:35:31 [INFO]  [explore.cpp:422] Initialized for robot id: 1
2026-03-20 08:35:31 [INFO]  [explore.cpp:423] Initialized angle for 90.000000
2026-03-20 08:35:31 [INFO]  [explore.cpp:426] Initialized angle updated
2026-03-20 08:35:31 [INFO]  [explore.cpp:447] Workaround for range measurements
2026-03-20 08:35:31 [INFO]  [explore.cpp:470] Own pose when relative measurements obtained (x, y, heading): 0.00, 0.03, 359.88
2026-03-20 08:35:31 [INFO]  [explore.cpp:474] Range (meter): 3.12, Raw AOA (degrees): 90.00, Adjusted AOA top peak (degrees): 89.88
2026-03-20 08:35:31 [INFO]  [explore.cpp:490] Own position (world): 0.00, 0.03 (ID: 2)
2026-03-20 08:35:31 [INFO]  [explore.cpp:494] Own position (map): 39, 99
2026-03-20 08:35:31 [INFO]  [explore.cpp:507] Creating track for Robot ID 1
2026-03-20 08:35:31 [INFO]  [explore.cpp:524] First estimate (world x_j, y_j) = 0.008137, 3.144583
2026-03-20 08:35:31 [INFO]  [state_filter.cpp:221] Obtained bearing measurements size 1
2026-03-20 08:35:31 [INFO]  [state_filter.cpp:228] Angle_measured (deg): 89.925468, d2: 0.299795
2026-03-20 08:35:31 [INFO]  [state_filter.cpp:253] Angle_pred (deg): 82.069514, Angle_measured (deg): 89.925467, residuals: 0.137043, probs: 0.999618
2026-03-20 08:35:31 [INFO]  [explore.cpp:564] **** getSizeInCellsX, getSizeInCellsY: 224, 160 **** 
2026-03-20 08:35:31 [INFO]  [explore.cpp:565] Estimate in map: (39, 120)
2026-03-20 08:35:31 [INFO]  [explore.cpp:589] Inserted in Quadmap
2026-03-20 08:35:31 [INFO]  [explore.cpp:609] -----finished-----
2026-03-20 08:35:31 [INFO]  [explore.cpp:372] Got relative measurements for Robot ID 3
2026-03-20 08:35:31 [INFO]  [explore.cpp:382] Using Own SLAM Pose
2026-03-20 08:35:31 [INFO]  [explore.cpp:410] Selecting measurements
2026-03-20 08:35:31 [INFO]  [explore.cpp:419] Measurement iterator = 1
2026-03-20 08:35:31 [INFO]  [explore.cpp:422] Initialized for robot id: 3
2026-03-20 08:35:31 [INFO]  [explore.cpp:423] Initialized angle for -90.000000
